STATION,NAME,DATE,TMAX
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-11,78
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-12,83
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-13,88
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-14,91
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-15,75
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-16,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-17,75
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-18,82
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-19,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-20,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-21,70
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-22,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-23,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-24,75
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-25,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-26,82
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-27,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-28,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-29,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-09-30,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-01,65
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-02,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-03,65
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-04,70
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-05,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-06,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-07,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-08,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-09,61
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-10,55
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-11,61
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-12,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-13,61
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-14,62
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-15,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-16,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-17,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-18,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-19,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-20,63
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-21,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-22,62
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-23,63
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-24,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-25,64
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-26,54
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-27,57
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-28,61
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-29,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-30,61
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-10-31,56
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-01,52
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-02,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-03,63
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-04,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-05,53
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-06,54
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-07,50
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-08,54
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-09,49
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-10,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-11,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-12,46
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-13,44
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-14,50
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-15,51
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-16,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-17,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-18,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-19,45
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-20,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-21,49
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-22,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-23,40
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-24,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-25,43
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-26,50
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-27,52
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-28,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-29,45
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-11-30,50
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-01,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-02,45
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-03,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-04,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-05,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-06,43
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-07,42
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-08,44
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-09,46
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-10,46
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-11,38
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-12,34
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-13,32
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-14,48
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-15,47
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-12-16,59
